amenity,count,replace_value
24-hour doorman,2,
Chef‰Ûªs islands/breakfast counter,2,
State-of-the-art fitness center,2,
Business center,2,
Large living space,2,
Floor-to-ceiling windows,2,
Oversized stainless steel appliances,2,
Furnished outdoor roof deck,2,
Intercom,1,
Pre-war Laundry On Every Floor No Pets Allowed,1,"Pre-war, Laundry In Building"
 Bike Storage,1,
ROOF Deck,1,
Landscaped Courtyard,1,
Non-Smoking Building,1,
"Dogs Allowed
 
Outdoor Areas",1,
"Diplomats Ok
 
Eat In Kitchen",1,
"Laundry in Unit
 
Outdoor Space",1,"Laundry In Unit, Outdoor Space"
Smoke-free,1,
Internet Cafe,1,
Business Lounge,1,
Juliet Balcony,1,
Renovated- Bright- Hardwood floor-High ceiling- Close to transportation,1,
Track Lighting,1,
Pool In Building,1,
 Bosch Wash And Dryer In Unit,1,
DIshwasher,1,
Penthouse,1,
Community Recreational Room,1,
Year Built: 1901,1,
Low Fee Listings Available,1,
 Roof Deck,1,
"Dogs Allowed
 
Central A/c",1,
ike Room Concierge. Garage Parking Gym Laundry in Building. Live-in Super,1,"Bike Room, Parking, Gym, Laundry In Building, Live-In Super"
 Recreational Room,1,
"Wheelchair Access
 
Business Center",1,
"Concierge, Children's Playroom",1,
"Bike Room, Storage Available,",1,
Wi-Fi,1,
Renovated- Dishwasher- Bright- Hardwood floor- High ceiling- close to transportation,1,
"Hardwood Floors
 
Bicycle Room",1,
Water Filtration System,1,
Atm In Building,1,
Pet-friendly,1,
24-hour Doorman,1,
Homework: Co Working Space,1,
Small Dogs,1,
Renovated- Bright- Hardwood floor- High ceiling-Dishwasher- Close to transportation,1,
SS appliances,1,
Bicycle Room; Complimentary Breakfast; Driveway; Garage; Shuttle Service; Wheelchair Access; Garden; Health Club; Basketball Court; Pool; Sauna; Steam Room; Spa Services; Laundry Room; Valet; Nursery; Lounge; Billiards Room; Rooftop Deck;,1,"Bicycle Room, Complimentary Breakfast, Parking, Shuttle Service, Garden, Basketball Court, Pool, Spa, Laundry In Building, Valet, Nursery, Lounge, Billiards Room, Rooftop Deck"
View: River,1,
"Exclusive
 
Private Outdoor Space",1,
"Dogs Allowed
 
Deck",1,
Bicycle Room; Complimentary Breakfast; Driveway; Garage; Shuttle Service; Wheelchair Access; Garden; Health Club; Basketball Court; Pool; Sauna; Steam Room; Spa Services; Laundry Room; Valet; Nursery; Lounge; Billiards Room; Rooftop Deck,1,"Bicycle Room, Complimentary Breakfast, Parking, Shuttle Service, Garden, Gym, Spa, Basketball Court, Pool, Laundry In Building, Valet, Nursery, Lounge, Billiards Room, Rooftop Deck"
Stainless steal appliances,1,
Granite island,1,
Playroom Lounge,1,
Washer/Dryer in unit,1,
Exposed brick,1,
Bright- hardwood floor-High ceiling,1,
 New Construction,1,
River views,1,
Bright- hardwood floor- High ceiling,1,
Free Gym,1,
tenants lounge with complimentary wi-if,1,
 Balcony,1,
"Marble Bath
 
Microwave",1,
Valet Parking,1,
 Terrace,1,
"
Elevator",1,Elevator
With New Finishes,1,
"Outdoor Space
 
Concierge",1,
En Suite Bath,1,
Spacious Galley Kitchen,1,
Large Picture Window,1,
Two Closets,1,
Tons Of Light,1,
Open Living Space,1,
Bedroom Fits Queen Or King Bed,1,
"Pets Ok
 
Cats Allowed",1,
Courtyard View; Large Closets,1,
Teak Finishes In Kitchen And Bathroom,1,
Deep Soaking Tub,1,
south facing,1,
private roof deck,1,
Pass-through Kitchen,1,
Laundry on every floor,1,Laundry In Building
Massage Room,1,
Sun Deck,1,
Bar,1,
 garage,1,
Central Park Views,1,
BBQ grills,1,
Swimming pool,1,
Children‰Ûªs Playroom,1,
Resident manager,1,
On-site parking,1,
Putting Green,1,
5 Closets,1,
Subway Shuttle,1,
NYC Ferry Access,1,
Tiled Floors,1,
Formal Dining Room,1,
Rent Control,1,
Valet Service and Parking Garage on-site,1,
In-unit laundry,1,Laundry In Unit
PRIVATE TERRACE,1,
24-hour Concierge,1,
Valet Services Incl. Dry-cleaning,1,
Laundry & Housekeeping,1,"Laundry In Building, Housekeeping"
Sky Deck,1,
Hotel-Style Lobby & Reception,1,
Residents Lounge w/ Billiards Table & Wet Bar,1,
On-Site Residences Coordinator,1,
Club Lounge,1,
Boxing,1,
Media Center w/ Fireside Seating,1,
TRX,1,
Daily Hospitality Cart & Coffee Service,1,
Concierge & Valet,1,
Terrace Gardens,1,
Cafe Lounge,1,
24-Hour Attended Lobby,1,
Demonstration Kitchen w/ Chef's Table,1,
64th Floor Indoor/Outdoor Sky Lounge,1,
Residents Canteen,1,
Work Lounge w/ Private Meeting Rooms,1,
Fitness Club & Terrace w/ Chilled Towel Service,1,
Housekeeping & Dry-cleaning Services,1,
State-of-the-Art Techno Gym,1,
Cardio & Weight Training Equipment,1,
Rooftop sundeck,1,
on-site valet,1,
state-of-the-art fitness center,1,
laundry room & a fully furnished wrap around terrace that offers stunning city views. Housekeeping + Dry-cleaning services available upon request. Custom European cabinetry Contemporary tiling Stainless steel appliances,1,"Laundry In Building, Terrace, Stainless Steel Appliances"
lounge area with free wifi & gaming tables,1,
24 hour doorman,1,
elegant glass-enclosed private lounge with magnificent river views,1,
and free WiFi in the resident‰Ûªs lounge.,1,
 billiards table and wet bar,1,
sun deck with complimentary Sunday brunch,1,
private laundry room on every floor,1,Laundry In Building
